statsDataId,measure_code,measure_name,industry_code,industry_name,size_code,size_name,time_code,year,area_name,unit,value,source_statistics
0003060791,071,期中平均役員数,142,情報通信業,26,全規模,20240,2024,全国,人,229524,法人企業統計調査
0003060791,072,期中平均従業員数,142,情報通信業,26,全規模,20240,2024,全国,人,2125560,法人企業統計調査
