statsDataId,表章事項,男女,全国、都道府県、市区町村,時間軸（年次）,単位,値
0004050397,2025_01,0,01464,2025000000,人,2669
0004050397,2025_01,0,01465,2025000000,人,2640
0004050397,2025_01,0,01468,2025000000,人,2744
0004050397,2025_01,0,01469,2025000000,人,3635
0004050397,2025_01,0,01470,2025000000,人,599
0004050397,2025_01,0,01471,2025000000,人,1230
0004050397,2025_01,0,01472,2025000000,人,1201
0004050397,2025_01,0,01481,2025000000,人,3343
0004050397,2025_01,0,01482,2025000000,人,2562
0004050397,2025_01,0,01483,2025000000,人,2560
0004050397,2025_01,0,01484,2025000000,人,5642
0004050397,2025_01,0,01485,2025000000,人,946
0004050397,2025_01,0,01486,2025000000,人,2163
0004050397,2025_01,0,01487,2025000000,人,2535
0004050397,2025_01,0,01511,2025000000,人,2506
0004050397,2025_01,0,01512,2025000000,人,3039
0004050397,2025_01,0,01513,2025000000,人,1415
0004050397,2025_01,0,01514,2025000000,人,7025
0004050397,2025_01,0,01516,2025000000,人,3431
0004050397,2025_01,0,01517,2025000000,人,2179
0004050397,2025_01,0,01518,2025000000,人,1768
0004050397,2025_01,0,01519,2025000000,人,2140
0004050397,2025_01,0,01520,2025000000,人,2012
0004050397,2025_01,0,01543,2025000000,人,16707
0004050397,2025_01,0,01544,2025000000,人,3774
0004050397,2025_01,0,01545,2025000000,人,10717
0004050397,2025_01,0,01546,2025000000,人,3571
0004050397,2025_01,0,01547,2025000000,人,4195
0004050397,2025_01,0,01549,2025000000,人,4245
0004050397,2025_01,0,01550,2025000000,人,2469
0004050397,2025_01,0,01552,2025000000,人,4339
0004050397,2025_01,0,01555,2025000000,人,17047
0004050397,2025_01,0,01559,2025000000,人,7538
0004050397,2025_01,0,01560,2025000000,人,2097
0004050397,2025_01,0,01561,2025000000,人,3356
0004050397,2025_01,0,01562,2025000000,人,914
0004050397,2025_01,0,01563,2025000000,人,3861
0004050397,2025_01,0,01564,2025000000,人,6183
